"","Jenis_Kelamin","MK1","MK2","MK3","MK4","MK5","IK1","IK2","IK3","IK4","IK5","SM1","SM2","SM3","LM1","LM2","LM3","MK_Skor","IK_Skor","SM_Skor","LM_Skor"
"105","L",2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,12,10,6,7
"106","L",2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,11,11,6,7
"107","L",2,2,2,2,2,3,3,4,3,2,2,2,2,2,2,2,10,15,6,6
"108","L",4,4,4,2,2,3,2,1,2,2,2,2,4,2,2,2,16,10,8,6
"109","L",2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,10,10,7,9
"110","L",2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,11,12,6,6
"111","L",2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,11,11,7,6
"112","L",3,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,11,10,6,6
"113","L",2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,10,11,7,7
"114","L",4,4,4,3,3,2,2,1,2,3,4,4,4,3,2,3,18,10,12,8
"115","L",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,10,10,6,7
"116","L",2,4,4,2,3,2,3,2,2,2,2,4,2,3,4,3,15,11,8,10
"117","L",2,3,2,4,2,3,2,2,2,2,2,4,2,2,2,2,13,11,8,6
"118","L",2,4,2,3,4,1,2,2,2,2,2,2,2,2,2,2,15,9,6,6
"119","L",2,2,2,2,2,3,2,2,3,3,3,2,2,3,4,2,10,13,7,9
"120","L",3,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,11,12,6,6
"121","L",2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,11,11,7,6
"122","L",2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,10,13,6,6
"123","L",3,2,2,3,2,3,3,4,4,3,4,4,3,4,4,3,12,17,11,11
"124","L",2,2,2,2,2,3,3,3,2,3,3,4,2,2,2,2,10,14,9,6
"125","L",2,2,2,2,2,4,3,4,4,3,4,4,2,4,2,2,10,18,10,8
"126","L",2,3,2,3,3,2,2,3,2,2,2,3,2,2,2,2,13,11,7,6
"127","L",2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,11,11,6,6
"128","L",2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,10,12,7,7
"129","L",2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,10,8,7,6
"130","L",2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,11,11,7,6
"131","L",4,2,4,2,4,2,2,1,2,2,3,4,4,2,3,3,16,9,11,8
"132","L",2,2,2,2,2,2,2,2,2,2,4,2,3,4,2,3,10,10,9,9
"133","L",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,10,6,6
"134","L",2,2,3,2,2,2,2,3,3,3,2,2,4,2,3,2,11,13,8,7
"135","L",2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,12,11,6,6
"136","L",2,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,13,11,6,6
"137","L",4,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,15,11,6,6
"138","L",2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,10,8,6,6
"139","L",3,4,3,4,4,1,2,3,2,2,3,3,4,2,3,2,18,10,10,7
"140","L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6
"141","L",2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,11,11,6,6
"142","L",2,4,2,4,2,2,3,2,3,4,3,3,2,3,3,3,14,14,8,9
"143","L",4,4,3,4,2,2,3,2,2,2,2,3,2,4,2,2,17,11,7,8
"144","L",2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,12,11,6,7
"145","L",2,2,2,2,2,3,2,4,2,3,2,2,4,3,2,2,10,14,8,7
"146","L",2,2,2,2,2,3,4,4,3,2,2,3,2,2,2,2,10,16,7,6
